track_name,artist_name,artist_count,released_year,streams,bpm,key,mode,danceability_pct,valence_pct,energy_pct,acousticness_pct,instrumentalness_pct,liveness_pct,speechiness_pct
Seven,"Latto, Jung Kook",2,2023,141381703,125,B,Major,80,89,83,31,0,8,4
LALA,Myke Towers,1,2023,133716286,92,C#,Major,71,61,74,7,0,10,4
vampire,Olivia Rodrigo,1,2023,140003974,138,F,Major,51,32,53,17,0,31,6
Cruel Summer,Taylor Swift,1,2019,800840817,170,A,Major,55,58,72,11,0,11,15
Sprinter,"Dave, Central Cee",2,2023,183706234,141,C#,Major,92,66,58,19,0,8,24
Super Shy,NewJeans,1,2023,58255150,150,F,Minor,78,52,82,18,0,15,7
Flowers,Miley Cyrus,1,2023,1316855716,118,,Major,71,65,68,6,0,3,7
Daylight,David Kushner,1,2023,387570742,130,D,Minor,51,32,43,83,0,9,3
As It Was,Harry Styles,1,2022,2513188493,174,F#,Minor,52,66,73,34,0,31,6
Kill Bill,SZA,1,2022,1163093654,89,G#,Major,64,43,73,5,17,16,4
Cupid,Fifty Fifty,1,2023,496795686,120,B,Minor,78,76,59,43,0,34,3
What Was I Made For?,Billie Eilish,1,2023,30546883,78,,Major,44,14,9,96,0,10,3
Like Crazy,Jimin,1,2023,363369738,120,G,Major,63,36,73,0,0,36,4
I Can See You,Taylor Swift,1,2023,52135248,123,F#,Major,69,82,76,6,0,6,3
I Wanna Be Yours,Arctic Monkeys,1,2013,1297026226,135,,Minor,48,44,42,12,2,11,3
Popular,"The Weeknd, Madonna, Playboi Carti",3,2023,115364561,99,C#,Major,85,83,68,7,0,36,20
Calm Down,"Rema, Selena G",2,2022,899183384,107,B,Major,80,82,80,43,0,14,4
Last Night,Morgan Wallen,1,2023,429829812,204,F#,Major,52,52,68,46,0,15,4
Dance The Night,Dua Lipa,1,2023,127408954,110,B,Minor,67,78,85,2,0,33,5
Rush,Troye Sivan,1,2023,22581161,126,F,Minor,74,35,84,0,0,11,6
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,843957510,98,C#,Minor,71,17,61,36,0,8,5
Anti-Hero,Taylor Swift,1,2022,999748277,97,E,Major,64,51,63,12,0,19,5
Blank Space,Taylor Swift,1,2014,1355959075,96,F,Major,75,57,68,9,0,13,6
Style,Taylor Swift,1,2014,786181836,95,D,Major,60,48,79,0,0,12,4
Sunflower,"Post Malone, Swae Lee",2,2018,2808096550,90,D,Major,76,91,50,54,0,7,5
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,1109433169,128,G,Minor,56,38,97,4,0,35,4
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,1047101291,79,F#,Major,56,58,56,37,0,11,10
Barbie World (with Aqua),"Nicki Minaj, Aqua, Ice Spice",3,2023,65156199,144,,Major,77,75,58,52,0,23,25
Angels Like You,Miley Cyrus,1,2020,570515054,122,F,Major,67,49,64,10,0,10,3
I Ain't Worried,OneRepublic,1,2022,1085685420,140,,Major,71,82,81,11,0,6,5
Die For You,The Weeknd,1,2016,1647990401,134,C#,Minor,59,51,52,9,0,15,7
Starboy,"The Weeknd, Daft Punk",2,2016,2565529693,186,G,Major,68,49,59,16,0,13,28
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,518745108,67,C#,Minor,53,50,53,23,0,44,7
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,177740666,128,G,Major,60,23,91,0,0,12,3
(It Goes Like) Nanana,Peggy Gou,1,2023,57876440,130,G,Minor,67,96,88,12,19,8,4
Another Love,Tom Odell,1,2012,1813673666,123,E,Minor,45,13,54,70,0,9,4
Blinding Lights,The Weeknd,1,2019,3703895074,171,C#,Major,50,38,80,0,0,9,7
Moonlight,Kali Uchis,1,2023,256483385,137,G,Minor,64,88,72,51,0,17,5
S91,Karol G,1,2023,16011326,128,,Minor,86,42,72,59,0,9,19
cardigan,Taylor Swift,1,2020,812019557,130,,Minor,61,53,58,55,0,27,4
Boy's a liar,"PinkPantheress, Ice Spice",2,2023,156338624,133,F,Major,70,86,81,25,0,25,5
Left and Right,"Charlie Puth, BTS, Jung Kook",3,2022,720434240,101,D,Major,88,72,59,62,0,9,3
Yellow,Chris Molitor,1,1999,1755214421,173,B,Major,43,28,66,0,0,23,3
Karma,Taylor Swift,1,2022,404562836,90,G#,Major,64,10,62,7,0,48,7
People,Libianca,1,2022,373199958,198,A#,Minor,59,71,42,55,0,10,7
Overdrive,Post Malone,1,2023,14780425,140,C#,Major,56,48,73,0,0,35,4
Enchanted,Taylor Swift,1,2023,39578178,82,G#,Major,51,22,53,1,0,15,3
Heat Waves,Glass Animals,1,2020,2557975762,81,B,Major,76,53,53,44,0,9,9
golden hour,JVKE,1,2022,751134527,94,C#,Minor,51,14,59,65,18,25,3
Sweater Weather,The Neighbourhood,1,2012,2282771485,124,A#,Major,61,41,81,5,2,10,3
Viva La Vida,Coldplay,1,2008,1592909789,138,F,Minor,49,42,62,9,0,11,3
Here With Me,d4vd,1,2022,635412045,132,E,Major,58,27,48,50,0,12,3
Unholy,"Sam Smith, Kim Petras",2,2022,1230675890,131,D,Major,71,24,47,1,0,27,9
Riptide,Vance Joy,1,1975,2009094673,102,C#,Major,48,50,73,43,0,15,4
Until I Found You,"Em Beihold, Stephen Sanchez",2,2022,600976848,101,A#,Major,34,32,57,78,0,20,3
Back To December,Taylor Swift,1,2023,39228929,142,D,Major,50,20,64,1,0,12,3
STAY,"Justin Bieber, The Kid Laroi",2,2021,2665343922,170,C#,Major,59,48,76,4,0,10,5
Someone You Loved,Lewis Capaldi,1,2018,2887241814,110,C#,Major,50,45,41,75,0,11,3
